Value Classic,Value Signal,Time
0.020290175688547407,0.056338227270870816,2022-10-05 12:00:00+05:00
-0.0013173855698660475,0.04480710470272344,2022-10-05 12:30:00+05:00
-0.04974134512480788,0.025897414737217177,2022-10-05 13:00:00+05:00
-0.07355223827896751,0.006007484133980239,2022-10-05 13:30:00+05:00
-0.08897613190938714,-0.012989239074693234,2022-10-05 14:00:00+05:00
-0.10044526644137619,-0.030480444548029825,2022-10-05 14:30:00+05:00
-0.07757412949132103,-0.03989918153668807,2022-10-05 15:00:00+05:00
-0.055181368296931765,-0.04295561888873681,2022-10-05 15:30:00+05:00
-0.04059807826375561,-0.04248411076374057,2022-10-05 16:00:00+05:00
-0.040276719083763624,-0.04204263242774518,2022-10-05 16:30:00+05:00
-0.03198760042041826,-0.0400316260262798,2022-10-05 17:00:00+05:00
0.0011960407023750008,-0.03178609268054884,2022-10-05 17:30:00+05:00
0.0331638958190652,-0.018796094980626035,2022-10-05 18:00:00+05:00
0.03868670087266679,-0.007299535809967469,2022-10-05 18:30:00+05:00
0.04337053160272575,0.0028344776725711743,2022-10-05 19:00:00+05:00
0.04614708808237111,0.011496999754531162,2022-10-05 19:30:00+05:00
0.04580225810964578,0.018358051425554085,2022-10-05 20:00:00+05:00
0.046605570716657496,0.024007555283774767,2022-10-05 20:30:00+05:00
0.057473059845037255,0.030700656196027267,2022-10-05 21:00:00+05:00
0.05296783839468233,0.035154092635758284,2022-10-05 21:30:00+05:00
0.06080029636497386,0.0402833333816014,2022-10-05 22:00:00+05:00
0.06385079424637041,0.044996825554555205,2022-10-05 22:30:00+05:00
0.06232225789422685,0.048461912022489534,2022-10-05 23:00:00+05:00
0.060414461516973716,0.05085242192138637,2022-10-05 23:30:00+05:00
0.05464152177392023,0.05161024189189315,2022-10-06 00:00:00+05:00
0.04510840349347589,0.0503098742122097,2022-10-06 00:30:00+05:00
0.03911968229377294,0.04807183582852235,2022-10-06 01:00:00+05:00
0.03278527471800885,0.04501452360641965,2022-10-06 01:30:00+05:00
0.05736332832995217,0.04748428455112616,2022-10-06 12:00:00+05:00
0.058416067446660946,0.049670641130233124,2022-10-06 12:30:00+05:00
0.06455805886349353,0.05264812467688521,2022-10-06 13:00:00+05:00
0.06344927084120044,0.05480835390974826,2022-10-06 13:30:00+05:00
0.053082564888221384,0.05446319610544289,2022-10-06 14:00:00+05:00
0.037574945524625036,0.05108554598927932,2022-10-06 14:30:00+05:00
0.01981171160129591,0.04483077911168264,2022-10-06 15:00:00+05:00
-0.005898078071982837,0.034685007674949545,2022-10-06 15:30:00+05:00
-0.03036132550179005,0.021675741039601626,2022-10-06 16:00:00+05:00
-0.036418156673271085,0.010056961497027086,2022-10-06 16:30:00+05:00
-0.039950794694536995,5.541025871427102e-05,2022-10-06 17:00:00+05:00
-0.04425755331866554,-0.008807182456761691,2022-10-06 17:30:00+05:00
-0.05191375961029365,-0.017428497887468083,2022-10-06 18:00:00+05:00
-0.06489894961529785,-0.02692258823303404,2022-10-06 18:30:00+05:00
-0.061170549196251756,-0.03377218042567758,2022-10-06 19:00:00+05:00
-0.0679227078514586,-0.040602285910833785,2022-10-06 19:30:00+05:00
-0.07124223149469344,-0.04673027502760572,2022-10-06 20:00:00+05:00
-0.07063795820669228,-0.05151181166342303,2022-10-06 20:30:00+05:00
-0.0641743485570423,-0.054044319042146884,2022-10-06 21:00:00+05:00
-0.06396298089925878,-0.056028051413569264,2022-10-06 21:30:00+05:00
-0.0650627585930259,-0.057834992849460594,2022-10-06 22:00:00+05:00
-0.06199206865403184,-0.05866640801037485,2022-10-06 22:30:00+05:00
-0.06007637632400531,-0.05894840167310095,2022-10-06 23:00:00+05:00
-0.056694265509040775,-0.05849757444028891,2022-10-06 23:30:00+05:00
-0.05698811868239417,-0.05819568328870997,2022-10-07 00:00:00+05:00
-0.05577118747995158,-0.05771078412695829,2022-10-07 00:30:00+05:00
-0.057373065455475825,-0.057643240392661804,2022-10-07 01:00:00+05:00
-0.05797427394962895,-0.05770944710405524,2022-10-07 01:30:00+05:00
-0.0769299299043098,-0.061553543664106154,2022-10-07 12:00:00+05:00
-0.08571934776163204,-0.06638670448361134,2022-10-07 12:30:00+05:00
-0.08923562274658181,-0.07095648813620543,2022-10-07 13:00:00+05:00
-0.10852346642143829,-0.07846988379325201,2022-10-07 13:30:00+05:00
-0.12319601099380506,-0.08741510923336263,2022-10-07 14:00:00+05:00
-0.12890018681552817,-0.09571212474979574,2022-10-07 14:30:00+05:00
-0.13628778682610587,-0.10382725716505777,2022-10-07 15:00:00+05:00
-0.14211809695602895,-0.111485425123252,2022-10-07 15:30:00+05:00
-0.1430721223061866,-0.11780276455983893,2022-10-07 16:00:00+05:00
-0.14019482453430498,-0.12228117655473215,2022-10-07 16:30:00+05:00
-0.1391348923821525,-0.12565191972021622,2022-10-07 17:00:00+05:00
-0.1387131803839452,-0.12826417185296202,2022-10-07 17:30:00+05:00
-0.15674502220433695,-0.133960341923237,2022-10-07 18:00:00+05:00
-0.1662942427507481,-0.14042712208873923,2022-10-07 18:30:00+05:00
-0.1698864327201477,-0.14631898421502093,2022-10-07 19:00:00+05:00
-0.18073630881902503,-0.15320244913582176,2022-10-07 19:30:00+05:00
-0.19276129654527452,-0.16111421861771233,2022-10-07 20:00:00+05:00
-0.19679499010236512,-0.1682503729146429,2022-10-07 20:30:00+05:00
-0.1993080549678652,-0.17446190932528738,2022-10-07 21:00:00+05:00
-0.21097147553236795,-0.1817638225667035,2022-10-07 21:30:00+05:00
-0.20733487938737838,-0.18687803393083852,2022-10-07 22:00:00+05:00
-0.1993308809331893,-0.18936860333130867,2022-10-07 22:30:00+05:00
-0.1995632937575884,-0.19140754141656463,2022-10-07 23:00:00+05:00
-0.20185862239485175,-0.19349775761222207,2022-10-07 23:30:00+05:00
-0.20454745682695474,-0.19570769745516864,2022-10-08 00:00:00+05:00
-0.20432306834126024,-0.19743077163238698,2022-10-08 00:30:00+05:00
-0.1994256349881809,-0.19782974430354577,2022-10-08 01:00:00+05:00
-0.19650684093675608,-0.19756516363018786,2022-10-08 01:30:00+05:00
-0.17323420353536534,-0.19269897161122337,2022-10-10 12:00:00+05:00
-0.1318868756164946,-0.18053655241227762,2022-10-10 12:30:00+05:00
-0.09519723835109417,-0.16346868960004093,2022-10-10 13:00:00+05:00
-0.07693387880297564,-0.1461617274406279,2022-10-10 13:30:00+05:00
-0.06932658709088457,-0.13079469937067922,2022-10-10 14:00:00+05:00
-0.05739122649490369,-0.11611400479552413,2022-10-10 14:30:00+05:00
-0.03940892145252661,-0.10077298812692462,2022-10-10 15:00:00+05:00
-0.011309862841518026,-0.0828803630698433,2022-10-10 15:30:00+05:00
0.018811164421709492,-0.06254205757153275,2022-10-10 16:00:00+05:00
0.04379132920718121,-0.04127538021578996,2022-10-10 16:30:00+05:00
0.06485793889144631,-0.02004871639434271,2022-10-10 17:00:00+05:00
0.081820576804855,0.0003251422454968317,2022-10-10 17:30:00+05:00
0.09497568540590251,0.019255250877577967,2022-10-10 18:00:00+05:00
0.08186386809440549,0.03177697432094347,2022-10-10 18:30:00+05:00
0.0762422007638115,0.04067001960951708,2022-10-10 19:00:00+05:00
0.08014269273256147,0.04856455423412596,2022-10-10 19:30:00+05:00
0.08268418709289094,0.05538848080587895,2022-10-10 20:00:00+05:00
0.0837331164396673,0.06105740793263663,2022-10-10 20:30:00+05:00
0.08399956403113862,0.06564583915233703,2022-10-10 21:00:00+05:00
0.08006017608677496,0.06852870653922462,2022-10-10 21:30:00+05:00
0.07646025475046159,0.070115016181472,2022-10-10 22:00:00+05:00
0.07396504282314353,0.07088502150980631,2022-10-10 22:30:00+05:00
0.07116719823253348,0.07094145685435174,2022-10-10 23:00:00+05:00
0.07255159693524149,0.07126348487052969,2022-10-10 23:30:00+05:00
0.07879234695092308,0.07276925728660837,2022-10-11 00:00:00+05:00
0.0831827653740227,0.07485195890409123,2022-10-11 00:30:00+05:00
0.08527573974683733,0.07693671507264045,2022-10-11 01:00:00+05:00
0.0847471499848318,0.07849880205507873,2022-10-11 01:30:00+05:00
0.08855241840508654,0.0805095253250803,2022-10-11 12:00:00+05:00
0.07815993732802085,0.0800396077256684,2022-10-11 12:30:00+05:00
0.07431215372259103,0.07889411692505292,2022-10-11 13:00:00+05:00
0.07922557507192707,0.07896040855442776,2022-10-11 13:30:00+05:00
0.0841665681510726,0.08000164047375674,2022-10-11 14:00:00+05:00
0.09625234257887882,0.08325178089478116,2022-10-11 14:30:00+05:00
0.10063575738609032,0.086728576193043,2022-10-11 15:00:00+05:00
0.09933346690870692,0.08924955433617579,2022-10-11 15:30:00+05:00
0.09797886933345268,0.09099541733563117,2022-10-11 16:00:00+05:00
0.09739644822083449,0.09227562351267184,2022-10-11 16:30:00+05:00
0.09423476275401654,0.09266745136094078,2022-10-11 17:00:00+05:00
0.08749287513466797,0.09163253611568623,2022-10-11 17:30:00+05:00
0.08719660563079401,0.09074535001870779,2022-10-11 18:00:00+05:00
0.08317876934563984,0.0892320338840942,2022-10-11 18:30:00+05:00
0.07748754411544567,0.0868831359303645,2022-10-11 19:00:00+05:00
0.07812846401639462,0.08513220154757052,2022-10-11 19:30:00+05:00
0.07574595437734999,0.08325495211352642,2022-10-11 20:00:00+05:00
0.0770047180005804,0.08200490529093722,2022-10-11 20:30:00+05:00
0.07591680097604225,0.08078728442795824,2022-10-11 21:00:00+05:00
0.0738004352049515,0.0793899145833569,2022-10-11 21:30:00+05:00
0.072896724869139,0.07809127664051332,2022-10-11 22:00:00+05:00
0.07654314298360276,0.07778164990913122,2022-10-11 22:30:00+05:00
0.07733115554640335,0.07769155103658565,2022-10-11 23:00:00+05:00
0.07148323199251294,0.0764498872277711,2022-10-11 23:30:00+05:00
0.07087322656433415,0.07533455509508372,2022-10-12 00:00:00+05:00
0.06799218839052656,0.07386608175417228,2022-10-12 00:30:00+05:00
